Timestamp,NorthSupply,NorthUsage,CenterSupply,CenterUsage,SouthSupply,SouthUsage,EastSupply,EastUsage
2016-09-27 12:10:00,648.4,841.3,733.0,564.4,839.6,799.9,14.0,29.3
2016-09-27 13:10:00,601.3,826.4,725.4,535.9,827.3,777.9,14.0,27.6
2016-09-27 14:10:00,500.9,789.5,759.0,506.7,821.5,771.3,13.9,27.9
2016-09-27 15:10:00,516.1,773.6,717.1,450.8,744.2,737.3,13.9,29.5
2016-09-27 16:10:00,530.2,778.0,691.6,432.2,746.0,735.3,8.7,31.0
2016-09-27 17:10:00,546.3,783.1,703.0,449.1,751.7,739.4,4.7,34.1
2016-09-27 18:10:00,579.0,814.3,713.3,486.4,782.1,739.4,4.7,39.1
2016-09-27 19:10:00,604.3,812.4,701.2,478.0,745.1,725.2,4.7,39.6
2016-09-27 20:10:00,620.6,809.0,692.5,490.5,740.3,717.4,4.7,41.1
2016-09-27 21:10:00,616.1,796.6,688.8,487.1,714.3,699.2,4.7,41.1
2016-09-27 22:10:00,570.3,770.5,696.1,494.8,713.8,680.5,4.7,39.0
2016-09-27 23:10:00,543.7,725.4,696.3,494.2,687.6,675.1,4.7,37.7
2016-09-28 00:10:00,516.3,708.2,659.1,477.2,699.7,658.4,4.7,36.0
2016-09-28 01:10:00,515.0,672.2,598.3,456.0,689.4,644.8,4.7,34.3
2016-09-28 02:10:00,485.8,653.6,560.9,442.0,706.0,628.8,4.7,32.9
2016-09-28 03:10:00,466.7,640.5,511.1,430.5,742.5,621.3,4.7,32.7
2016-09-28 04:10:00,434.6,622.4,489.1,421.5,766.1,617.2,4.7,33.4
2016-09-28 05:10:00,429.2,622.0,490.2,420.7,760.8,609.3,4.7,33.0
2016-09-28 06:10:00,441.2,622.1,487.6,421.2,747.5,604.5,4.6,33.2
2016-09-28 07:10:00,459.0,657.1,519.8,437.8,766.0,620.1,4.7,34.4
2016-09-28 08:10:00,484.7,716.3,599.8,472.2,772.5,638.2,4.6,34.9
2016-09-28 09:10:00,531.9,790.4,696.7,512.9,782.1,675.7,4.6,36.3
2016-09-28 10:10:00,601.7,861.2,685.9,529.2,836.7,705.2,9.3,38.0
2016-09-28 11:10:00,663.5,912.4,682.5,551.0,883.8,738.5,5.7,33.6
2016-09-28 12:10:00,670.5,941.4,698.0,547.1,905.7,757.6,5.8,33.8
2016-09-28 13:10:00,669.9,963.9,746.7,563.2,899.5,761.1,5.8,33.6
2016-09-28 14:10:00,688.5,974.6,745.2,570.2,918.8,779.4,5.8,34.0
2016-09-28 15:10:00,695.9,973.1,755.8,580.1,909.0,779.6,5.8,33.7
2016-09-28 16:10:00,722.4,973.3,748.3,594.1,915.5,790.7,5.8,34.0
2016-09-28 17:10:00,748.5,973.7,757.5,600.8,915.9,816.5,5.8,36.6
2016-09-28 18:10:00,786.0,1018.0,779.1,645.0,963.0,829.6,5.7,41.3
2016-09-28 19:10:00,806.4,1018.1,757.4,648.3,978.6,840.9,5.8,41.0
2016-09-28 20:10:00,789.1,1007.5,759.8,650.6,979.2,837.3,8.2,40.9
2016-09-28 21:10:00,816.7,1003.0,716.2,650.0,985.3,833.9,8.3,39.5
2016-09-28 22:10:00,765.2,963.8,723.2,638.1,954.6,811.9,8.3,37.6
2016-09-28 23:10:00,724.1,932.6,716.8,607.7,909.2,784.0,8.3,34.2
2016-09-29 00:10:00,704.4,862.5,612.7,580.3,905.6,755.8,8.3,32.3
2016-09-29 01:10:00,664.1,815.9,591.8,555.9,865.5,728.1,8.3,29.8
2016-09-29 02:10:00,653.6,769.9,536.1,548.2,863.2,714.6,8.2,28.4
2016-09-29 03:10:00,658.8,747.8,486.9,535.2,864.2,707.2,8.2,27.9
2016-09-29 04:10:00,639.7,740.1,487.2,536.8,865.4,696.0,8.3,27.6
2016-09-29 05:10:00,641.0,724.9,481.9,545.2,869.8,703.4,8.2,27.4
2016-09-29 06:10:00,679.7,752.0,459.7,539.3,871.0,699.7,8.2,27.5
2016-09-29 07:10:00,740.1,812.7,472.1,549.8,901.8,731.4,8.2,28.3
2016-09-29 08:10:00,790.4,961.6,634.8,644.2,1009.6,806.1,8.0,30.7
2016-09-29 09:10:00,908.7,1158.8,845.6,735.7,1059.0,891.6,8.3,35.6
2016-09-29 10:10:00,956.4,1209.4,871.3,755.7,1093.7,927.9,8.3,36.6
2016-09-29 18:10:00,1033.2,1214.8,909.9,796.5,1070.0,967.5,8.9,43.4
2016-09-29 19:10:00,1014.2,1193.5,918.4,805.4,1067.0,966.6,9.0,43.1
2016-09-29 20:10:00,951.4,1166.7,917.0,798.5,1068.2,937.4,9.0,43.0
2016-09-29 21:10:00,947.4,1109.9,867.9,754.6,1010.6,929.1,9.0,41.2
2016-09-29 22:10:00,863.0,1051.6,877.3,738.1,973.8,894.2,9.0,39.1
2016-09-29 23:10:00,863.0,1011.7,826.8,711.7,935.0,873.8,9.0,36.6
2016-09-30 00:10:00,825.8,925.7,709.6,670.7,916.9,830.9,9.0,34.0
2016-09-30 01:10:00,792.2,870.0,669.1,644.8,859.2,783.2,9.0,31.4
2016-09-30 02:10:00,755.6,817.8,617.1,616.5,855.9,773.4,8.9,29.8
2016-09-30 03:10:00,757.0,797.7,575.5,616.4,856.6,754.9,9.0,29.2
2016-09-30 04:10:00,734.9,782.7,578.5,592.0,829.1,748.0,9.0,28.8
2016-09-30 05:00:00,719.4,782.2,555.5,595.4,855.4,732.9,9.0,28.8
2016-09-30 06:10:00,750.5,792.0,542.4,586.7,839.3,733.3,9.0,29.2
2016-09-30 07:10:00,803.1,839.4,566.8,615.1,856.5,750.9,8.9,30.0
2016-09-30 08:10:00,816.8,978.8,758.7,699.0,944.9,818.8,8.7,32.4
2016-09-30 09:10:00,925.3,1166.3,926.6,781.5,1047.1,922.4,8.9,37.8
2016-09-30 10:10:00,997.5,1215.1,895.6,786.5,1100.9,962.7,8.9,38.5
2016-09-30 11:10:00,1071.5,1269.8,917.0,809.9,1118.2,992.5,7.5,42.0
2016-09-30 12:10:00,1041.1,1262.5,909.5,774.5,1098.4,983.3,12.6,41.4
2016-09-30 13:10:00,1033.3,1220.5,874.5,764.6,1077.5,973.2,12.1,39.1
2016-09-30 14:10:00,1087.1,1262.3,901.4,806.1,1119.4,1011.6,12.3,40.3
2016-09-30 15:10:00,1084.3,1250.2,885.1,800.9,1106.5,996.5,12.4,40.6
2016-09-30 16:10:00,1065.9,1241.5,885.4,798.2,1107.0,990.9,12.4,40.2
2016-09-30 17:10:00,998.9,1213.8,887.2,777.5,1100.6,966.3,12.4,41.4
2016-09-30 18:10:00,1016.7,1193.3,895.5,808.9,1087.8,967.0,12.3,43.1
2016-09-30 19:10:00,967.9,1172.8,888.0,797.5,1102.0,957.1,13.3,43.9
2016-09-30 20:10:00,886.3,1131.6,890.9,783.3,1101.8,934.6,13.3,42.9
2016-09-30 21:10:00,913.3,1097.3,888.8,757.3,1009.2,928.4,13.4,41.7
2016-09-30 22:10:00,884.0,1037.6,846.7,719.8,957.3,905.0,13.4,39.0
2016-09-30 23:10:00,838.1,987.1,831.7,694.9,922.3,886.0,13.4,37.4
2016-10-01 00:10:00,779.2,928.5,772.6,665.8,909.6,846.9,13.3,33.6
2016-10-01 01:10:00,761.0,875.6,656.4,638.9,917.8,802.7,13.4,31.5
2016-10-01 02:10:00,740.1,834.2,613.5,626.0,911.3,787.8,13.2,30.1
2016-10-01 03:10:00,727.6,804.7,576.9,623.2,912.1,772.3,13.3,29.7
2016-10-01 04:10:00,705.8,786.5,576.8,614.9,884.0,748.9,13.3,29.6
2016-10-01 05:10:00,679.0,776.0,581.9,581.5,858.0,745.4,13.3,29.3
2016-10-01 06:10:00,701.4,768.8,572.7,594.3,850.9,744.5,13.2,30.5
2016-10-01 07:10:00,729.1,800.4,584.9,594.8,856.3,757.9,13.3,30.4
2016-10-01 08:10:00,766.6,852.0,623.0,646.8,906.3,778.1,13.1,32.1
2016-10-01 09:10:00,813.9,942.5,778.4,703.0,921.6,847.7,13.2,34.0
2016-10-01 10:10:00,885.9,1008.1,824.7,726.4,935.7,889.1,13.3,36.0
2016-10-01 11:10:00,943.0,1062.0,827.6,746.0,967.2,904.6,13.3,38.6
2016-10-01 12:10:00,907.5,1088.3,849.3,731.5,1000.9,912.8,13.6,38.7
2016-10-01 13:10:00,901.7,1080.8,869.9,736.7,982.3,911.6,13.2,38.0
2016-10-01 14:10:00,920.8,1099.4,840.1,763.5,1045.2,918.3,13.4,38.1
2016-10-01 15:10:00,919.1,1084.5,826.3,762.5,1034.3,908.0,13.3,38.0
2016-10-01 16:10:00,882.2,1067.9,825.8,753.4,1043.9,906.4,13.3,37.4
2016-10-01 17:10:00,873.4,1047.7,800.6,732.3,1019.2,887.1,13.4,39.5
2016-10-01 18:10:00,876.7,1044.5,811.2,733.2,1029.6,911.4,13.2,41.6
2016-10-01 19:10:00,893.8,1055.5,824.6,740.8,1015.7,909.3,13.3,41.8
2016-10-01 20:10:00,890.7,1049.9,781.4,737.3,1036.7,893.9,13.4,41.0
2016-10-01 21:10:00,898.8,1033.3,783.7,717.8,990.2,895.2,13.4,39.9
2016-10-01 22:10:00,863.9,991.2,766.4,723.0,966.0,856.2,13.4,39.2
2016-10-01 23:10:00,797.4,949.7,764.4,708.4,964.9,846.0,13.3,36.0
2016-10-02 00:10:00,781.1,904.3,698.9,678.1,926.4,804.0,13.4,33.5
2016-10-02 01:10:00,742.0,844.5,641.2,652.3,922.3,790.9,13.3,31.2
2016-10-02 02:10:00,717.5,802.8,587.4,630.4,904.1,758.7,13.4,30.4
2016-10-02 03:10:00,691.9,768.4,554.6,621.2,890.9,731.9,13.3,29.2
2016-10-02 04:10:00,675.9,760.8,525.6,600.5,902.1,727.0,13.5,28.8
2016-10-02 05:10:00,661.4,744.3,534.0,594.1,869.6,710.7,13.2,29.1
2016-10-02 06:10:00,632.6,734.4,527.2,567.9,865.7,707.9,13.3,28.6
2016-10-02 07:10:00,630.1,750.5,546.6,568.6,866.5,707.7,13.2,29.6
2016-10-02 08:10:00,665.9,783.2,588.1,603.9,886.8,734.9,13.2,32.1
2016-10-02 09:10:00,683.0,863.7,687.3,611.5,895.9,769.5,13.3,34.8
2016-10-02 10:10:00,710.2,908.1,757.1,633.9,899.1,802.1,13.2,35.6
2016-10-02 11:10:00,740.3,958.3,762.6,650.2,947.6,817.9,13.3,37.4
2016-10-02 12:10:00,766.2,989.0,775.8,651.8,946.4,822.9,13.3,37.9
2016-10-02 13:10:00,779.2,1001.6,776.0,676.5,981.5,834.2,13.3,37.7
2016-10-02 14:10:00,777.5,999.0,782.9,670.7,968.1,834.3,13.2,37.7
2016-10-02 15:10:00,799.8,994.1,766.3,680.4,964.1,831.2,13.3,37.9
2016-10-02 16:10:00,806.8,982.4,750.8,670.4,951.3,832.2,13.3,37.1
2016-10-02 17:10:00,784.1,977.2,781.4,664.7,932.7,833.2,13.2,36.4
2016-10-02 18:10:00,827.9,1015.2,822.9,690.3,962.8,880.4,13.2,40.9
2016-10-02 19:10:00,871.5,1026.3,797.1,713.7,978.4,879.3,13.4,41.0
2016-10-02 20:10:00,872.9,1031.6,828.8,738.5,986.0,889.3,13.4,41.7
2016-10-02 21:10:00,861.3,1011.8,806.2,726.2,980.5,883.1,13.3,40.2
2016-10-02 22:10:00,869.6,998.6,762.2,714.8,989.5,882.1,13.5,39.3
2016-10-02 23:10:00,795.1,947.6,757.5,688.6,950.7,844.9,13.4,35.6
2016-10-03 00:10:00,793.0,884.9,691.1,654.7,895.4,821.0,13.4,32.3
2016-10-03 14:10:00,1150.5,1275.4,914.5,806.3,1083.0,1037.1,13.8,42.9
2016-10-03 15:10:00,1111.3,1250.3,950.2,820.0,1074.4,1037.2,13.7,42.1
2016-10-03 16:10:00,1114.3,1251.4,942.1,806.4,1069.2,1038.7,13.8,43.0
2016-10-03 17:10:00,1094.9,1213.4,859.8,763.9,1049.3,996.8,13.9,43.8
2016-10-03 18:10:00,1107.7,1232.6,936.1,781.9,1038.6,1035.3,13.9,46.5
2016-10-03 19:10:00,1112.9,1217.1,875.0,770.9,1040.1,1007.6,13.9,46.3
2016-10-03 20:10:00,1075.3,1191.0,860.7,739.6,1022.1,995.3,14.0,46.1
2016-10-03 21:10:00,1065.7,1155.5,859.9,683.3,932.6,987.7,13.8,45.4
